State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Manipur,Imphal East,Imphal East _II C.D.Block,Nungaipokpi,792197.0,Bus Shed Leirongthel,"Leirongthel, Imphal East",2020-06-20 10:01:48.157000,Transport/Admin,Bus Stand,24.69958452,94.10261441
Manipur,Imphal East,Imphal East _II C.D.Block,Nungaipokpi,792197.0,Nungaipokpi Waiting Shed,Nungaipokpi,2020-06-21 08:16:22.733003,Transport/Admin,Bus Stand,24.694425,94.0951
Manipur,Tamenglong,Tamei T.D.Block,Pallong_N,812303.0,Pack House,Pallong,2020-12-17 16:48:32.899997,Agro ,Collection Centre or Pack House,25.046548673047,93.601214106032
Manipur,Tamenglong,Tamei T.D.Block,Pallong_N,812303.0,Bus Stand,Pallong,2020-12-17 16:48:55.497001,Transport/Admin,Bus Stand,25.046992726521,93.599997543351
Manipur,Tamenglong,Tamenglong T.D.Block,AWANGKHUL A,54495.0,Savio High School,Awangkhul,2020-12-17 22:20:56.020001,Education ,High School - General,24.78783908296,93.939635127174
Manipur,Tamenglong,Tamenglong T.D.Block,AWANGKHUL A,54495.0,Market Godown,Awangkhul,2020-12-17 22:21:48.722999,Agro ,Collection Centre or Pack House,24.82444092,93.55988166
Manipur,Tamenglong,Tamenglong T.D.Block,AWANGKHUL A,54495.0,Bus stand Awangkhul,Awangkhul,2020-12-17 22:22:46.100004,Transport/Admin,Bus Stand,24.81417316,93.5395688
Manipur,Tamenglong,Tamenglong T.D.Block,AWANGKHUL A,54495.0,Awangkhul market shed,Awangkhul,2020-12-17 22:21:23.737000,Agro ,Mandi (Notified),24.82471104,93.56037344
Manipur,Tamenglong,Tamenglong T.D.Block,AWANGKHUL A,54495.0,Awangkhul Primary health sub centre,Awangkhul,2020-12-17 22:22:18.869998,Medical ,Primary Health Centre,24.82384393,93.55965452
Manipur,Tamenglong,Tamenglong T.D.Block,PUNGMON,870170.0,Pungmon Bus stand,Pungmon,2020-11-25 22:01:25.590003,Transport/Admin,Bus Stand,24.880487322807,93.70180785656
Manipur,Senapati,Saikul T.D.Block,Maibunglikli,651720.0,bus stand,maibung likli,2020-12-04 17:24:17.157001,Transport/Admin,Bus Stand,25.00121345,94.00162165
Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972.0,UCO Bank,ukhrul,2020-10-19 20:18:06.733002,Transport/Admin,Bank,25.099815,94.36087
Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972.0,Bus stand,ukhrul,2020-10-19 17:50:50.459997,Transport/Admin,Bus Stand,25.09254,94.360276666667
Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972.0,Market,ukhrul,2020-10-19 17:55:41.037004,Agro ,Mandi (Notified),25.097475,94.362131666667
Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972.0,District Hospital,Ukhrul,2020-10-19 16:39:54.063003,Medical ,Bedded Hospital,25.080115,94.339418333333
Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972.0,Ukhrul Higher Secondary School,Ukhrul,2020-10-19 17:57:51.893001,Education ,Higher Secondary School,25.101195,94.36139
Manipur,Ukhrul,Ukhrul T.D.Block,Ukhrul,1070972.0,Fuel Station,Ukhrul,2020-10-19 19:54:01.693002,Transport/Admin,Fuel Station,25.121858333333,94.364343333333
